LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
,,A-3-6-14 (B-Stock),,,,,,,,D-12-4 (Lab),,,,,,I-7-7 (QUAR (Quarantine)antine),,,,,D-2-8 (Stock),,,
,,A-3-6-2 (B-Stock),,,,,,,,D-3-3 (Lab),,,,,,I-7-8 (QUAR (Quarantine)antine),,,,,D-3-1 (Stock),,,
,,A-3-6-3 (B-Stock),,,,,,,,D-3-5 (Lab),,,,,,I-8-1 (QUAR (Quarantine)antine),,,,,D-3-2 (Stock),,,
,,A-3-6-4 (B-Stock),,,,,,,,D-3-7 (Lab),,,,,,I-8-2 (QUAR (Quarantine)antine),,,,,D-3-3 (Stock),,,
,,A-3-6-5 (B-Stock),,,,,,,,D-4-1 (Lab),,,,,,I-8-3 (QUAR (Quarantine)antine),,,,,D-3-4 (Stock),,,
,,A-3-6-6 (B-Stock),,,,,,,,D-4-12 (Lab),,,,,,I-8-4 (QUAR (Quarantine)antine),,,,,D-3-5 (Stock),,,
,,A-3-6-7 (B-Stock),,,,,,,,D-4-4 (Lab),,,,,,I-8-5 (QUAR (Quarantine)antine),,,,,D-3-6 (Stock),,,
,,A-3-6-8 (B-Stock),,,,,,,,D-5-3 (Lab),,,,,,I-8-6 (QUAR (Quarantine)antine),,,,,D-3-7 (Stock),,,
,,A-3-6-9 (B-Stock),,,,,,,,D-5-3-1 (Lab),,,,,,I-8-7 (QUAR (Quarantine)antine),,,,,D-3-8 (Stock),,,
,,A-3-7 (B-Stock),,,,,,,,D-5-6-1 (Lab),,,,,,J-11-2 (QUAR (Quarantine)antine),,,,,D-4-1 (Stock),,,
,,A-3-7-1 (B-Stock),,,,,,,,D-6-3 (Lab),,,,,,J-11-3 (QUAR (Quarantine)antine),,,,,D-4-2 (Stock),,,
,,A-3-7-10 (B-Stock),,,,,,,,D-6-4 (Lab),,,,,,J-11-4 (QUAR (Quarantine)antine),,,,,D-4-3 (Stock),,,
,,A-3-7-11 (B-Stock),,,,,,,,D-6-5 (Lab),,,,,,J-11-5 (QUAR (Quarantine)antine),,,,,D-4-4 (Stock),,,
,,A-3-7-12 (B-Stock),,,,,,,,D-6-7 (Lab),,,,,,J-11-6 (QUAR (Quarantine)antine),,,,,D-4-5 (Stock),,,
,,A-3-7-13 (B-Stock),,,,,,,,D-7-1 (Lab),,,,,,J-11-7 (QUAR (Quarantine)antine),,,,,D-4-6 (Stock),,,
